,frec,X,Y
0,1238,7.510185241699219e-06,-3.784894943237305e-05
1,939,1.4066696166992188e-05,-4.00543212890625e-05
2,712,2.8312206268310547e-05,-3.254413604736328e-05
3,540,3.510713577270508e-05,-2.384185791015625e-05
4,409,4.1544437408447266e-05,-1.7523765563964844e-05
5,310,4.7147274017333984e-05,-1.233816146850586e-05
6,235,5.042552947998047e-05,-6.973743438720703e-06
7,178,5.066394805908203e-05,-3.4570693969726562e-06
8,135,5.125999450683594e-05,-1.1324882507324219e-06
9,102,5.125999450683594e-05,-3.5762786865234375e-07
10,77,5.0902366638183594e-05,2.384185791015625e-07
11,58,4.988908767700195e-05,5.364418029785156e-07
12,44,4.887580871582031e-05,1.430511474609375e-06
13,33,4.875659942626953e-05,3.2186508178710938e-06
14,25,4.792213439941406e-05,5.066394805908203e-06
15,19,4.64320182800293e-05,7.092952728271484e-06
16,14,4.5180320739746094e-05,9.179115295410156e-06
17,11,4.3332576751708984e-05,9.834766387939453e-06
18,8,4.315376281738281e-05,9.834766387939453e-06
19,6,4.5239925384521484e-05,1.0728836059570312e-05
20,4,4.655122756958008e-05,1.4424324035644531e-05
21,3,4.494190216064453e-05,1.9609928131103516e-05
22,2,4.023313522338867e-05,2.4378299713134766e-05
23,2,3.3855438232421875e-05,2.8073787689208984e-05
24,1,2.8192996978759766e-05,3.0279159545898438e-05
25,1,2.5033950805664062e-05,3.2842159271240234e-05
26,0,2.300739288330078e-05,2.6881694793701172e-05
27,0,2.1755695343017578e-05,9.655952453613281e-06
28,0,2.0742416381835938e-05,-6.854534149169922e-06
29,0,2.002716064453125e-05,-1.9431114196777344e-05
30,0,1.9550323486328125e-05,-2.8371810913085938e-05
31,0,1.9490718841552734e-05,-3.427267074584961e-05
32,0,1.9490718841552734e-05,-3.802776336669922e-05
33,0,1.9371509552001953e-05,-4.023313522338867e-05
34,0,1.9252300262451172e-05,-4.1604042053222656e-05
35,0,1.9252300262451172e-05,-4.225969314575195e-05
36,0,1.9311904907226562e-05,-4.279613494873047e-05
37,0,1.9311904907226562e-05,-4.297494888305664e-05
38,0,1.9311904907226562e-05,-4.309415817260742e-05
39,0,1.9252300262451172e-05,-4.309415817260742e-05
40,0,1.9311904907226562e-05,-4.32133674621582e-05
41,0,1.9311904907226562e-05,-4.3272972106933594e-05
42,0,1.919269561767578e-05,-4.3272972106933594e-05
43,0,1.9252300262451172e-05,-4.3272972106933594e-05
44,0,1.9371509552001953e-05,-4.3332576751708984e-05
45,0,1.9431114196777344e-05,-4.3392181396484375e-05
46,0,1.9550323486328125e-05,-4.3451786041259766e-05
47,0,1.9669532775878906e-05,-4.3511390686035156e-05
48,0,1.9609928131103516e-05,-4.3451786041259766e-05
49,0,1.9431114196777344e-05,-4.3332576751708984e-05
50,0,1.913309097290039e-05,-4.315376281738281e-05
51,0,1.9252300262451172e-05,-4.32133674621582e-05
52,0,1.9252300262451172e-05,-4.3332576751708984e-05
53,0,1.9311904907226562e-05,-4.3392181396484375e-05
54,0,1.9490718841552734e-05,-4.3332576751708984e-05
55,0,1.9490718841552734e-05,-4.3332576751708984e-05
56,0,1.9252300262451172e-05,-4.3332576751708984e-05
57,0,1.913309097290039e-05,-4.3332576751708984e-05
58,0,1.919269561767578e-05,-4.3392181396484375e-05
59,0,1.913309097290039e-05,-4.3272972106933594e-05
