,amp,X,Y
0,691,5.960464477539063e-08,-9.000301361083984e-06
1,698,-2.4437904357910156e-06,-1.1324882507324219e-05
2,706,-2.9802322387695312e-06,-1.0311603546142578e-05
3,713,-3.7550926208496094e-06,-1.1086463928222656e-05
4,721,-3.4570693969726562e-06,-1.1742115020751953e-05
5,728,-3.2782554626464844e-06,-1.1026859283447266e-05
6,736,-1.8477439880371094e-06,-9.953975677490234e-06
7,743,-1.9669532775878906e-06,-1.1026859283447266e-05
8,751,-8.344650268554688e-07,-9.834766387939453e-06
9,758,-6.556510925292969e-07,-1.1265277862548828e-05
10,766,-9.5367431640625e-07,-8.881092071533203e-06
11,773,-2.0265579223632812e-06,-9.834766387939453e-06
12,781,-3.2782554626464844e-06,-1.0848045349121094e-05
13,788,-3.2186508178710938e-06,-1.1265277862548828e-05
14,796,-2.682209014892578e-06,-1.049041748046875e-05
15,803,-3.0994415283203125e-06,-9.715557098388672e-06
16,811,-2.7418136596679688e-06,-1.0371208190917969e-05
17,818,-2.9206275939941406e-06,-9.715557098388672e-06
18,826,-1.9669532775878906e-06,-1.0788440704345703e-05
19,833,-2.086162567138672e-06,-9.775161743164062e-06
20,841,-2.384185791015625e-06,-1.0371208190917969e-05
21,848,-1.7881393432617188e-06,-1.0848045349121094e-05
22,856,-1.6093254089355469e-06,-1.0013580322265625e-05
23,863,-6.556510925292969e-07,-9.715557098388672e-06
24,871,-6.556510925292969e-07,-9.715557098388672e-06
25,878,-5.364418029785156e-07,-8.463859558105469e-06
26,886,-5.960464477539062e-07,-9.298324584960938e-06
27,893,-2.980232238769531e-07,-1.0132789611816406e-05
28,901,-9.5367431640625e-07,-9.834766387939453e-06
29,908,-7.748603820800781e-07,-8.761882781982422e-06
30,916,-2.980232238769531e-07,-1.0073184967041016e-05
31,923,-8.344650268554688e-07,-8.761882781982422e-06
32,931,-7.152557373046875e-07,-9.000301361083984e-06
33,938,-5.960464477539062e-07,-8.463859558105469e-06
34,946,-2.980232238769531e-07,-7.212162017822266e-06
35,953,9.5367431640625e-07,-8.761882781982422e-06
36,961,4.76837158203125e-07,-9.715557098388672e-06
37,968,7.152557373046875e-07,-9.775161743164062e-06
38,976,1.4901161193847656e-06,-9.715557098388672e-06
39,983,7.748603820800781e-07,-9.59634780883789e-06
40,991,2.205371856689453e-06,-6.616115570068359e-06
41,998,1.2516975402832031e-06,-9.5367431640625e-06
42,1006,1.4901161193847656e-06,-7.748603820800781e-06
43,1013,1.8477439880371094e-06,-7.450580596923828e-06
44,1021,2.682209014892578e-06,-7.569789886474609e-06
45,1028,0.0,-6.556510925292969e-06
46,1036,-4.76837158203125e-07,-9.059906005859375e-06
47,1043,-1.7881393432617188e-07,-9.655952453613281e-06
48,1051,-9.5367431640625e-07,-9.59634780883789e-06
49,1058,-1.3709068298339844e-06,-1.055002212524414e-05
50,1066,-1.4901161193847656e-06,-1.0967254638671875e-05
51,1073,-5.960464477539062e-07,-1.0848045349121094e-05
52,1081,-8.344650268554688e-07,-1.1265277862548828e-05
53,1088,-6.556510925292969e-07,-1.1146068572998047e-05
54,1096,-1.0728836059570312e-06,-1.0728836059570312e-05
55,1103,-3.5762786865234375e-07,-1.0788440704345703e-05
56,1111,-3.5762786865234375e-07,-1.1324882507324219e-05
57,1118,4.172325134277344e-07,-1.0907649993896484e-05
58,1126,-6.556510925292969e-07,-1.0907649993896484e-05
59,1133,1.1920928955078125e-07,-1.0728836059570312e-05
60,1141,-7.152557373046875e-07,-1.1026859283447266e-05
61,1148,1.2516975402832031e-06,-1.0192394256591797e-05
62,1156,8.344650268554688e-07,-9.238719940185547e-06
63,1163,-5.960464477539063e-08,-1.0609626770019531e-05
64,1171,-1.430511474609375e-06,-1.1205673217773438e-05
65,1178,1.1920928955078125e-07,-1.0311603546142578e-05
66,1186,-5.364418029785156e-07,-1.2218952178955078e-05
67,1193,-1.1920928955078125e-07,-1.0013580322265625e-05
68,1201,7.152557373046875e-07,-1.0848045349121094e-05
69,1208,1.0728836059570312e-06,-1.1026859283447266e-05
70,1216,1.8477439880371094e-06,-1.0251998901367188e-05
71,1223,1.0132789611816406e-06,-1.0251998901367188e-05
72,1231,9.5367431640625e-07,-9.5367431640625e-06
