,frec,X,Y
0,1238,1.4960765838623047e-05,4.5418739318847656e-05
1,939,5.5670738220214844e-05,1.6689300537109375e-06
2,712,4.2319297790527344e-05,-1.9669532775878906e-06
3,540,5.0008296966552734e-05,-8.821487426757812e-06
4,409,5.745887756347656e-05,-1.9073486328125e-06
5,310,4.875659942626953e-05,3.7550926208496094e-06
6,235,4.863739013671875e-05,-1.1324882507324219e-06
7,178,4.76837158203125e-05,4.172325134277344e-07
8,135,4.8220157623291016e-05,2.086162567138672e-06
9,102,4.8160552978515625e-05,3.159046173095703e-06
10,77,4.851818084716797e-05,1.9669532775878906e-06
11,58,4.863739013671875e-05,2.3245811462402344e-06
12,44,4.70280647277832e-05,4.76837158203125e-06
13,33,4.7147274017333984e-05,7.748603820800781e-06
14,25,4.3451786041259766e-05,1.0907649993896484e-05
15,19,4.225969314575195e-05,1.2278556823730469e-05
16,14,4.106760025024414e-05,1.0967254638671875e-05
17,11,4.023313522338867e-05,9.119510650634766e-06
18,8,4.786252975463867e-05,1.0132789611816406e-05
19,6,5.322694778442383e-05,1.531839370727539e-05
20,4,4.5180320739746094e-05,2.6285648345947266e-05
21,3,3.826618194580078e-05,3.4332275390625e-05
22,2,2.0325183868408203e-05,3.4809112548828125e-05
23,2,1.8358230590820312e-05,3.451108932495117e-05
24,1,1.7702579498291016e-05,3.403425216674805e-05
25,1,2.3126602172851562e-05,3.814697265625e-05
26,0,2.3305416107177734e-05,-1.1265277862548828e-05
27,0,2.002716064453125e-05,-3.8623809814453125e-05
28,0,1.8477439880371094e-05,-4.2438507080078125e-05
29,0,1.8835067749023438e-05,-4.291534423828125e-05
30,0,1.8358230590820312e-05,-4.3451786041259766e-05
31,0,1.8537044525146484e-05,-4.3392181396484375e-05
32,0,1.9311904907226562e-05,-4.3272972106933594e-05
33,0,1.8656253814697266e-05,-4.3451786041259766e-05
34,0,1.8477439880371094e-05,-4.357099533081055e-05
35,0,1.9729137420654297e-05,-4.363059997558594e-05
36,0,1.990795135498047e-05,-4.369020462036133e-05
37,0,2.014636993408203e-05,-4.392862319946289e-05
38,0,1.996755599975586e-05,-4.363059997558594e-05
39,0,2.002716064453125e-05,-4.404783248901367e-05
40,0,2.002716064453125e-05,-4.374980926513672e-05
41,0,2.014636993408203e-05,-4.4405460357666016e-05
42,0,1.9669532775878906e-05,-4.32133674621582e-05
43,0,2.0444393157958984e-05,-4.4345855712890625e-05
44,0,1.9431114196777344e-05,-4.380941390991211e-05
45,0,1.9788742065429688e-05,-4.3511390686035156e-05
46,0,1.9252300262451172e-05,-4.291534423828125e-05
47,0,1.990795135498047e-05,-4.3511390686035156e-05
48,0,1.9669532775878906e-05,-4.3511390686035156e-05
49,0,2.014636993408203e-05,-4.410743713378906e-05
50,0,2.0325183868408203e-05,-4.410743713378906e-05
51,0,1.919269561767578e-05,-4.374980926513672e-05
52,0,1.9431114196777344e-05,-4.363059997558594e-05
53,0,1.913309097290039e-05,-4.3451786041259766e-05
54,0,2.0205974578857422e-05,-4.374980926513672e-05
55,0,1.8894672393798828e-05,-4.285573959350586e-05
56,0,1.996755599975586e-05,-4.363059997558594e-05
57,0,2.002716064453125e-05,-4.357099533081055e-05
58,0,1.9490718841552734e-05,-4.297494888305664e-05
59,0,1.9490718841552734e-05,-4.3392181396484375e-05
