,frec,X,Y
0,1238,-0.000279843807220459,-0.00032275915145874023
1,939,0.00017243623733520508,0.0001938939094543457
2,712,-4.935264587402344e-05,-0.00013262033462524414
3,540,-3.8504600524902344e-05,-6.914138793945312e-05
4,409,-5.364418029785156e-06,4.214048385620117e-05
5,310,1.52587890625e-05,3.123283386230469e-05
6,235,1.0132789611816406e-06,5.960464477539062e-07
7,178,8.165836334228516e-06,-9.119510650634766e-06
8,135,1.519918441772461e-05,-4.708766937255859e-06
9,102,1.8298625946044922e-05,-1.4901161193847656e-06
10,77,2.002716064453125e-05,-5.185604095458984e-06
11,58,2.092123031616211e-05,-1.1563301086425781e-05
12,44,2.0444393157958984e-05,-1.1861324310302734e-05
13,33,2.3603439331054688e-05,-1.823902130126953e-05
14,25,2.759695053100586e-05,-2.5033950805664062e-05
15,19,2.765655517578125e-05,-2.378225326538086e-05
16,14,3.737211227416992e-05,-3.2961368560791016e-05
17,11,2.9921531677246094e-05,-2.9146671295166016e-05
18,8,4.267692565917969e-05,-4.0471553802490234e-05
19,6,3.7789344787597656e-05,-2.9027462005615234e-05
20,4,4.172325134277344e-05,-3.36766242980957e-05
21,3,3.5643577575683594e-05,-5.066394805908203e-05
22,2,9.429454803466797e-05,-2.1755695343017578e-05
23,2,0.00011074542999267578,4.76837158203125e-07
24,1,6.604194641113281e-05,-2.0503997802734375e-05
25,1,3.6835670471191406e-05,-4.5239925384521484e-05
26,0,6.99758529663086e-05,4.589557647705078e-05
27,0,6.902217864990234e-05,4.738569259643555e-05
28,0,6.74128532409668e-05,4.4226646423339844e-05
29,0,6.645917892456055e-05,4.982948303222656e-05
30,0,6.657838821411133e-05,5.0961971282958984e-05
31,0,6.824731826782227e-05,4.398822784423828e-05
32,0,7.18235969543457e-05,4.464387893676758e-05
33,0,6.848573684692383e-05,4.7087669372558594e-05
34,0,6.42538070678711e-05,4.76837158203125e-05
35,0,6.622076034545898e-05,4.506111145019531e-05
36,0,7.253885269165039e-05,4.220008850097656e-05
37,0,6.937980651855469e-05,5.459785461425781e-05
38,0,7.104873657226562e-05,4.2438507080078125e-05
39,0,6.955862045288086e-05,4.392862319946289e-05
40,0,6.181001663208008e-05,5.3822994232177734e-05
41,0,6.651878356933594e-05,4.571676254272461e-05
42,0,7.12275505065918e-05,4.5418739318847656e-05
43,0,7.200241088867188e-05,4.00543212890625e-05
44,0,6.526708602905273e-05,4.4465065002441406e-05
45,0,7.414817810058594e-05,4.214048385620117e-05
46,0,6.830692291259766e-05,4.5359134674072266e-05
47,0,6.496906280517578e-05,5.620718002319336e-05
48,0,6.908178329467773e-05,4.363059997558594e-05
49,0,6.282329559326172e-05,5.412101745605469e-05
50,0,7.462501525878906e-05,4.124641418457031e-05
51,0,6.705522537231445e-05,4.45246696472168e-05
52,0,6.818771362304688e-05,4.786252975463867e-05
53,0,6.645917892456055e-05,4.5359134674072266e-05
54,0,7.361173629760742e-05,4.017353057861328e-05
55,0,7.766485214233398e-05,4.1365623474121094e-05
56,0,6.961822509765625e-05,4.374980926513672e-05
57,0,6.729364395141602e-05,4.935264587402344e-05
58,0,7.295608520507812e-05,4.094839096069336e-05
59,0,7.134675979614258e-05,4.4286251068115234e-05
