,amp,X,Y
0,1639,2.682209014892578e-06,-8.64267349243164e-06
1,1705,5.125999450683594e-06,-1.049041748046875e-05
2,1771,6.67572021484375e-06,-1.0907649993896484e-05
3,1837,4.947185516357422e-06,-8.940696716308594e-06
4,1903,6.973743438720703e-06,-7.450580596923828e-06
5,1969,9.059906005859375e-06,-9.417533874511719e-06
6,2036,8.64267349243164e-06,-7.152557373046875e-06
7,2102,5.304813385009766e-06,-1.0251998901367188e-05
8,2168,6.318092346191406e-06,-9.238719940185547e-06
9,2234,7.092952728271484e-06,-1.0669231414794922e-05
10,2300,8.881092071533203e-06,-9.179115295410156e-06
11,2366,8.285045623779297e-06,-9.894371032714844e-06
12,2433,9.238719940185547e-06,-6.794929504394531e-06
13,2499,8.404254913330078e-06,-9.655952453613281e-06
14,2565,1.0192394256591797e-05,-1.1324882507324219e-05
15,2631,8.404254913330078e-06,-8.344650268554688e-06
16,2697,1.0251998901367188e-05,-1.1920928955078125e-05
17,2763,1.1265277862548828e-05,-8.702278137207031e-06
18,2830,1.3113021850585938e-05,-9.655952453613281e-06
19,2896,1.3053417205810547e-05,-8.52346420288086e-06
20,2962,1.341104507446289e-05,-7.987022399902344e-06
21,3028,1.3947486877441406e-05,-9.298324584960938e-06
22,3094,1.2814998626708984e-05,-8.463859558105469e-06
23,3160,1.5020370483398438e-05,-8.940696716308594e-06
24,3227,1.33514404296875e-05,-1.0132789611816406e-05
25,3293,1.6450881958007812e-05,-9.119510650634766e-06
26,3359,1.6033649444580078e-05,-9.059906005859375e-06
27,3425,1.627206802368164e-05,-7.033348083496094e-06
28,3491,1.6391277313232422e-05,-7.569789886474609e-06
29,3557,1.8358230590820312e-05,-6.020069122314453e-06
30,3624,1.6748905181884766e-05,-6.735324859619141e-06
31,3690,1.7821788787841797e-05,-9.179115295410156e-06
32,3756,1.913309097290039e-05,-9.238719940185547e-06
33,3822,2.0623207092285156e-05,-6.198883056640625e-06
34,3888,1.901388168334961e-05,-6.556510925292969e-06
35,3955,2.0742416381835938e-05,-5.424022674560547e-06
36,4021,2.0682811737060547e-05,-3.814697265625e-06
37,4087,2.205371856689453e-05,-3.3974647521972656e-06
38,4153,2.0563602447509766e-05,-5.900859832763672e-06
39,4219,1.9550323486328125e-05,-6.9141387939453125e-06
40,4285,2.0325183868408203e-05,-6.318092346191406e-06
41,4352,2.1219253540039062e-05,-7.152557373046875e-06
42,4418,2.1696090698242188e-05,-7.331371307373047e-06
43,4484,2.0503997802734375e-05,-7.3909759521484375e-06
44,4550,2.2113323211669922e-05,-6.079673767089844e-06
45,4616,2.2232532501220703e-05,-7.927417755126953e-06
46,4682,2.2590160369873047e-05,-8.52346420288086e-06
47,4749,2.390146255493164e-05,-7.62939453125e-06
48,4815,2.276897430419922e-05,-8.165836334228516e-06
49,4881,2.562999725341797e-05,-7.569789886474609e-06
50,4947,2.491474151611328e-05,-8.702278137207031e-06
51,5013,2.5928020477294922e-05,-7.212162017822266e-06
52,5079,2.676248550415039e-05,-7.987022399902344e-06
53,5146,2.7060508728027344e-05,-7.033348083496094e-06
54,5212,2.6702880859375e-05,-9.238719940185547e-06
55,5278,2.6047229766845703e-05,-7.62939453125e-06
56,5344,2.8371810913085938e-05,-6.616115570068359e-06
57,5410,2.8848648071289062e-05,-7.62939453125e-06
58,5476,2.8073787689208984e-05,-8.285045623779297e-06
59,5543,2.855062484741211e-05,-6.616115570068359e-06
60,5609,2.9146671295166016e-05,-5.9604644775390625e-06
61,5675,3.0219554901123047e-05,-9.298324584960938e-06
62,5741,3.039836883544922e-05,-7.68899917602539e-06
63,5807,3.165006637573242e-05,-7.212162017822266e-06
64,5873,3.1948089599609375e-05,-4.231929779052734e-06
65,5940,3.2007694244384766e-05,-6.616115570068359e-06
66,6006,3.141164779663086e-05,-4.5299530029296875e-06
67,6072,3.129243850708008e-05,-4.589557647705078e-06
68,6138,3.3915042877197266e-05,-2.2649765014648438e-06
69,6204,3.2007694244384766e-05,-4.649162292480469e-06
70,6271,3.2842159271240234e-05,-3.7550926208496094e-06
71,6337,3.260374069213867e-05,-6.198883056640625e-06
72,6403,3.409385681152344e-05,-5.066394805908203e-06
73,6469,3.24249267578125e-05,-6.020069122314453e-06
74,6535,3.218650817871094e-05,-3.874301910400391e-06
75,6601,3.5643577575683594e-05,-6.556510925292969e-06
76,6668,3.4868717193603516e-05,-7.033348083496094e-06
77,6734,3.534555435180664e-05,-7.271766662597656e-06
78,6800,3.5643577575683594e-05,-6.139278411865234e-06
79,6866,3.5703182220458984e-05,-4.172325134277344e-06
80,6932,3.820657730102539e-05,-3.874301910400391e-06
81,6998,3.826618194580078e-05,-6.139278411865234e-06
82,7065,3.743171691894531e-05,-4.887580871582031e-06
83,7131,3.892183303833008e-05,-4.112720489501953e-06
84,7197,3.898143768310547e-05,-4.112720489501953e-06
85,7263,3.892183303833008e-05,-3.874301910400391e-06
86,7329,3.8743019104003906e-05,-3.7550926208496094e-06
87,7395,3.981590270996094e-05,-3.933906555175781e-06
88,7462,3.904104232788086e-05,-3.4570693969726562e-06
89,7528,4.172325134277344e-05,-3.5762786865234375e-06
90,7594,4.106760025024414e-05,-3.5762786865234375e-06
91,7660,4.1484832763671875e-05,-4.589557647705078e-06
92,7726,4.178285598754883e-05,-3.516674041748047e-06
93,7792,4.267692565917969e-05,-2.384185791015625e-06
94,7859,4.416704177856445e-05,-1.5497207641601562e-06
95,7925,4.374980926513672e-05,-7.152557373046875e-07
96,7991,4.470348358154297e-05,-2.1457672119140625e-06
97,8057,4.6193599700927734e-05,-1.6093254089355469e-06
98,8123,4.553794860839844e-05,5.960464477539062e-07
99,8190,4.762411117553711e-05,2.8014183044433594e-06
