,frec,X,Y
0,1238,3.7550926208496094e-06,-5.960464477539063e-08
1,815,3.6954879760742188e-06,4.76837158203125e-07
2,536,6.139278411865234e-06,1.3709068298339844e-06
3,352,8.344650268554688e-06,2.5033950805664062e-06
4,232,1.0311603546142578e-05,3.4570693969726562e-06
5,152,1.2516975402832031e-05,3.814697265625e-06
6,100,1.4185905456542969e-05,3.516674041748047e-06
7,66,1.531839370727539e-05,2.682209014892578e-06
8,43,1.6510486602783203e-05,1.5497207641601562e-06
9,28,1.7464160919189453e-05,1.7881393432617188e-07
10,18,1.8537044525146484e-05,-1.430511474609375e-06
11,12,1.9550323486328125e-05,-3.039836883544922e-06
12,8,2.0682811737060547e-05,-4.827976226806641e-06
13,5,2.1457672119140625e-05,-7.271766662597656e-06
14,3,2.1636486053466797e-05,-1.0073184967041016e-05
15,2,2.2351741790771484e-05,-1.4662742614746094e-05
16,1,2.5987625122070312e-05,-1.9848346710205078e-05
17,1,3.3974647521972656e-05,-2.1338462829589844e-05
18,0,4.1961669921875e-05,-1.8775463104248047e-05
19,0,4.780292510986328e-05,-1.1622905731201172e-05
20,0,5.1915645599365234e-05,-2.5033950805664062e-06
21,0,5.4717063903808594e-05,6.616115570068359e-06
22,0,5.6743621826171875e-05,1.5079975128173828e-05
23,0,5.817413330078125e-05,2.2411346435546875e-05
24,0,5.924701690673828e-05,2.872943878173828e-05
25,0,6.014108657836914e-05,3.4332275390625e-05
26,0,6.0677528381347656e-05,3.844499588012695e-05
27,0,6.109476089477539e-05,4.172325134277344e-05
28,0,6.127357482910156e-05,4.4405460357666016e-05
29,0,6.145238876342773e-05,4.649162292480469e-05
30,0,6.157159805297852e-05,4.8279762268066406e-05
31,0,6.16312026977539e-05,4.947185516357422e-05
32,0,6.157159805297852e-05,5.048513412475586e-05
33,0,6.145238876342773e-05,5.125999450683594e-05
34,0,6.133317947387695e-05,5.179643630981445e-05
35,0,6.127357482910156e-05,5.227327346801758e-05
36,0,6.115436553955078e-05,5.263090133666992e-05
37,0,6.109476089477539e-05,5.2869319915771484e-05
38,0,6.103515625e-05,5.310773849487305e-05
39,0,6.115436553955078e-05,5.322694778442383e-05
