,frec,X,Y
0,1238,2.1457672119140625e-05,-2.8312206268310547e-05
1,815,1.806020736694336e-05,-1.0669231414794922e-05
2,536,1.5556812286376953e-05,-3.159046173095703e-06
3,352,1.9609928131103516e-05,-3.5762786865234375e-07
4,232,2.2113323211669922e-05,2.980232238769531e-07
5,152,2.0325183868408203e-05,-2.2649765014648438e-06
6,100,2.0325183868408203e-05,-4.5299530029296875e-06
7,66,1.919269561767578e-05,-6.854534149169922e-06
8,43,2.0325183868408203e-05,-7.271766662597656e-06
9,28,2.3424625396728516e-05,-1.0907649993896484e-05
10,18,2.5033950805664062e-05,-1.6510486602783203e-05
11,12,2.4378299713134766e-05,-1.1324882507324219e-05
12,8,2.968311309814453e-05,-3.0159950256347656e-05
13,5,2.110004425048828e-05,-3.159046173095703e-05
14,3,2.1159648895263672e-05,-3.170967102050781e-05
15,2,4.89354133605957e-05,-8.654594421386719e-05
16,1,9.351968765258789e-05,4.172325134277344e-07
17,1,0.00011146068572998047,5.0067901611328125e-06
18,0,6.312131881713867e-05,5.173683166503906e-05
19,0,6.0439109802246094e-05,5.3048133850097656e-05
20,0,6.186962127685547e-05,5.137920379638672e-05
21,0,6.079673767089844e-05,5.263090133666992e-05
22,0,6.306171417236328e-05,5.1081180572509766e-05
23,0,6.16908073425293e-05,5.2988529205322266e-05
24,0,5.835294723510742e-05,5.364418029785156e-05
25,0,6.109476089477539e-05,5.131959915161133e-05
26,0,6.073713302612305e-05,5.346536636352539e-05
27,0,6.318092346191406e-05,5.08427619934082e-05
28,0,6.03795051574707e-05,5.227327346801758e-05
29,0,5.8650970458984375e-05,5.263090133666992e-05
30,0,6.002187728881836e-05,5.2034854888916016e-05
31,0,6.079673767089844e-05,5.179643630981445e-05
32,0,5.8531761169433594e-05,5.316734313964844e-05
33,0,6.002187728881836e-05,5.239248275756836e-05
34,0,6.020069122314453e-05,5.1975250244140625e-05
35,0,6.03795051574707e-05,5.1915645599365234e-05
36,0,5.996227264404297e-05,5.310773849487305e-05
37,0,6.282329559326172e-05,5.221366882324219e-05
38,0,6.35385513305664e-05,5.167722702026367e-05
39,0,5.8710575103759766e-05,5.358457565307617e-05
