,frec,X,Y
0,1238,6.580352783203125e-05,2.580881118774414e-05
1,815,5.2869319915771484e-05,1.1920928955078125e-05
2,536,4.83393669128418e-05,2.384185791015625e-07
3,352,5.030632019042969e-05,2.9802322387695312e-06
4,232,5.120038986206055e-05,-1.4901161193847656e-06
5,152,5.2094459533691406e-05,1.6689300537109375e-06
6,100,5.227327346801758e-05,3.159046173095703e-06
7,66,5.02467155456543e-05,3.516674041748047e-06
8,43,4.875659942626953e-05,6.198883056640625e-06
9,28,4.9233436584472656e-05,7.152557373046875e-06
10,18,4.947185516357422e-05,6.616115570068359e-06
11,12,5.08427619934082e-05,6.198883056640625e-06
12,8,4.738569259643555e-05,6.4373016357421875e-06
13,5,6.335973739624023e-05,1.3589859008789062e-05
14,3,6.42538070678711e-05,3.93986701965332e-05
15,2,2.9087066650390625e-05,5.358457565307617e-05
16,1,-1.1742115020751953e-05,1.430511474609375e-06
17,1,-2.771615982055664e-05,-8.881092071533203e-06
18,0,2.473592758178711e-05,-4.792213439941406e-05
19,0,2.3305416107177734e-05,-4.798173904418945e-05
20,0,2.5093555450439453e-05,-4.780292510986328e-05
21,0,2.491474151611328e-05,-4.8100948333740234e-05
22,0,2.282857894897461e-05,-4.762411117553711e-05
23,0,2.3365020751953125e-05,-4.786252975463867e-05
24,0,2.372264862060547e-05,-4.786252975463867e-05
25,0,2.4557113647460938e-05,-4.869699478149414e-05
26,0,2.2292137145996094e-05,-4.678964614868164e-05
27,0,2.4378299713134766e-05,-4.857778549194336e-05
28,0,2.47955322265625e-05,-4.8220157623291016e-05
29,0,2.4139881134033203e-05,-4.7087669372558594e-05
30,0,2.2113323211669922e-05,-4.792213439941406e-05
31,0,2.467632293701172e-05,-4.8100948333740234e-05
32,0,2.3365020751953125e-05,-4.83393669128418e-05
33,0,2.4199485778808594e-05,-4.780292510986328e-05
34,0,2.4139881134033203e-05,-4.8100948333740234e-05
35,0,2.6226043701171875e-05,-4.863739013671875e-05
36,0,2.467632293701172e-05,-4.83393669128418e-05
37,0,2.467632293701172e-05,-4.839897155761719e-05
38,0,2.282857894897461e-05,-4.7206878662109375e-05
39,0,2.3245811462402344e-05,-4.8160552978515625e-05
