,frecs,X,Y,R,ph
0,1238,1.2507848307070726e-06,1.2647890739431244e-06,8.168499091506826e-07,0.9267823630726889
1,1173,1.0881194814677503e-06,1.297903423546827e-06,7.335051911418541e-07,1.0079495402431067
2,1110,1.1765351456233008e-06,1.1843145939828527e-06,7.479312728539758e-07,0.9044106093025522
3,1051,1.037281636397791e-06,1.1596245634040133e-06,7.284272465139564e-07,0.9251714057585784
4,995,1.0621238298865488e-06,1.040414227443878e-06,6.741389031493872e-07,0.9258572727782542
5,942,1.059638493590822e-06,9.194728883224116e-07,6.602190963055827e-07,0.87522535253025
6,892,9.225926847784921e-07,1.0683207707962346e-06,6.602574539876711e-07,0.9397676618799558
7,845,9.409493246063894e-07,8.994054521156349e-07,5.203882560446074e-07,0.8725068671936781
8,800,8.583671081793182e-07,8.317825508903149e-07,5.943840113654607e-07,
9,757,8.228919340742271e-07,8.388717980458138e-07,5.492649395123215e-07,0.9342978432452164
10,717,9.738341044069963e-07,9.303320862849266e-07,6.050247260939863e-07,0.8782426037415708
11,679,8.58968903286544e-07,7.870474549459707e-07,5.12014101997512e-07,0.898824331545435
12,643,9.538791853676208e-07,8.122571437179223e-07,6.366422124712204e-07,0.8766928675256663
13,609,8.473195967589603e-07,7.920869743768313e-07,5.69412925754072e-07,
14,576,8.107588019920957e-07,7.950506700130344e-07,5.572271161572754e-07,0.9576643012160031
15,546,7.434589391135075e-07,9.053745418242973e-07,5.037523815785115e-07,0.9671726754502201
16,517,7.469341975168262e-07,8.413497006101581e-07,5.43745054954987e-07,0.968744476713576
17,489,7.94616209467826e-07,8.268818555685593e-07,5.738897594061793e-07,0.9355838451287246
18,463,7.790899383402828e-07,7.663970695234949e-07,5.249713070522329e-07,0.9044144807192063
19,438,7.060129288111794e-07,7.51304903000686e-07,4.620418810065365e-07,0.9276022460625353
20,415,6.958216209144259e-07,7.395961352932532e-07,4.4699620830495e-07,0.8880105295204102
21,393,6.781594258035468e-07,8.045123542618006e-07,4.690984157492109e-07,0.954958276829045
22,372,6.768358714940705e-07,6.363208302879645e-07,4.1728438695455856e-07,
23,352,6.01564140655524e-07,6.600320278648201e-07,4.924735305270681e-07,0.931784571799446
24,333,6.713110551104702e-07,6.623561960236175e-07,4.7402064000603797e-07,0.9334324091015206
25,316,6.96617667590885e-07,6.304864261195383e-07,4.258844073882985e-07,0.9108290265076292
26,299,7.18046495763494e-07,6.268785156826861e-07,4.845994741667018e-07,0.8552136206262817
27,283,6.804530049708594e-07,6.569640603111002e-07,4.5057293227430276e-07,
28,268,7.553888782372644e-07,6.238448326431572e-07,4.6633456934081326e-07,0.8363422601095396
29,254,7.834805533056946e-07,7.457613010335092e-07,5.134071380070262e-07,0.9310988054593139
30,240,6.817228969780026e-07,6.701651091370811e-07,4.6199938668312723e-07,
31,227,7.3056039560348e-07,7.330283320728808e-07,4.485479002303417e-07,0.8783292709774978
32,215,7.05304811617426e-07,8.28023940925397e-07,5.721248880700681e-07,0.9265436718019421
33,204,1.075081924172226e-06,1.3029879366215074e-06,1.053223722658606e-06,0.929954481405173
34,193,1.3162854181650838e-06,1.045109106058509e-06,1.0370765871935429e-06,0.8733726303373426
35,183,1.7067752303639125e-06,1.8467919912067166e-06,2.0428021001322766e-06,0.9905589122585995
36,173,1.0596993444397176e-06,1.4171346187478528e-06,1.2604866715395175e-06,0.8623108983660775
