# Config1, Config2
1.472500000000000000e+02 3.075000000000000000e+02
1.397500000000000000e+02 3.345000000000000000e+02
1.457500000000000000e+02 3.625000000000000000e+02
1.420000000000000000e+02 3.482500000000000000e+02
1.642500000000000000e+02 3.017500000000000000e+02
1.347500000000000000e+02 2.827500000000000000e+02
1.545000000000000000e+02 3.122500000000000000e+02
1.450000000000000000e+02 3.302500000000000000e+02
1.307500000000000000e+02 2.982500000000000000e+02
1.597500000000000000e+02 2.850000000000000000e+02
1.512500000000000000e+02 3.462500000000000000e+02
1.492500000000000000e+02 3.147500000000000000e+02
1.590000000000000000e+02 3.120000000000000000e+02
1.430000000000000000e+02 3.142500000000000000e+02
1.325000000000000000e+02 2.955000000000000000e+02
1.365000000000000000e+02 3.182500000000000000e+02
1.595000000000000000e+02 3.277500000000000000e+02
1.380000000000000000e+02 2.930000000000000000e+02
1.452500000000000000e+02 3.157500000000000000e+02
1.347500000000000000e+02 3.200000000000000000e+02
1.400000000000000000e+02 3.175000000000000000e+02
1.417500000000000000e+02 3.305000000000000000e+02
1.477500000000000000e+02 2.952500000000000000e+02
1.365000000000000000e+02 3.047500000000000000e+02
1.390000000000000000e+02 3.070000000000000000e+02
1.397500000000000000e+02 2.872500000000000000e+02
1.510000000000000000e+02 3.165000000000000000e+02
1.472500000000000000e+02 3.225000000000000000e+02
1.475000000000000000e+02 3.267500000000000000e+02
1.475000000000000000e+02 3.695000000000000000e+02
1.430000000000000000e+02 3.050000000000000000e+02
1.290000000000000000e+02 2.760000000000000000e+02
1.425000000000000000e+02 2.862500000000000000e+02
1.370000000000000000e+02 2.702500000000000000e+02
1.397500000000000000e+02 2.915000000000000000e+02
1.590000000000000000e+02 3.157500000000000000e+02
1.217500000000000000e+02 3.027500000000000000e+02
1.415000000000000000e+02 3.267500000000000000e+02
1.452500000000000000e+02 3.330000000000000000e+02
1.295000000000000000e+02 2.780000000000000000e+02
1.662500000000000000e+02 3.152500000000000000e+02
1.335000000000000000e+02 2.950000000000000000e+02
1.310000000000000000e+02 3.100000000000000000e+02
1.405000000000000000e+02 3.335000000000000000e+02
1.342500000000000000e+02 3.320000000000000000e+02
1.382500000000000000e+02 3.317500000000000000e+02
1.310000000000000000e+02 2.912500000000000000e+02
1.402500000000000000e+02 3.097500000000000000e+02
1.322500000000000000e+02 2.932500000000000000e+02
1.310000000000000000e+02 3.292500000000000000e+02
1.435000000000000000e+02 3.102500000000000000e+02
1.455000000000000000e+02 2.770000000000000000e+02
1.362500000000000000e+02 3.467500000000000000e+02
1.485000000000000000e+02 3.292500000000000000e+02
1.330000000000000000e+02 3.175000000000000000e+02
1.592500000000000000e+02 3.537500000000000000e+02
1.412500000000000000e+02 3.312500000000000000e+02
1.410000000000000000e+02 3.372500000000000000e+02
1.400000000000000000e+02 2.995000000000000000e+02
1.312500000000000000e+02 3.147500000000000000e+02
1.317500000000000000e+02 3.577500000000000000e+02
1.500000000000000000e+02 2.865000000000000000e+02
1.325000000000000000e+02 2.832500000000000000e+02
1.500000000000000000e+02 3.297500000000000000e+02
1.422500000000000000e+02 3.052500000000000000e+02
1.472500000000000000e+02 3.345000000000000000e+02
1.412500000000000000e+02 3.215000000000000000e+02
1.512500000000000000e+02 3.490000000000000000e+02
1.407500000000000000e+02 3.345000000000000000e+02
1.617500000000000000e+02 3.255000000000000000e+02
1.360000000000000000e+02 3.302500000000000000e+02
